"chrom","start","end","pos"
"NW_022145598.1",30341907,30347176,30344541.5
"NW_022145598.1",30397930,30403723,30400826.5
"NW_022145598.1",30962452,30968184,30965318
"NW_022145598.1",31132085,31156206,31144145.5
"NW_022145598.1",31797714,31827022,31812368
"NW_022145598.1",34653575,34658396,34655985.5
"NW_022145598.1",34816357,34831005,34823681
"NW_022145598.1",35276869,35280721,35278795
"NW_022145598.1",35289297,35293868,35291582.5
"NW_022145598.1",35327614,35332269,35329941.5
"NW_022145598.1",35367273,35374123,35370698
"NW_022145598.1",35434815,35440716,35437765.5
"NW_022145598.1",36016943,36033940,36025441.5
"NW_022145598.1",36033948,36054670,36044309
"NW_022145598.1",36054671,36063427,36059049
"NW_022145598.1",36063429,36073759,36068594
"NW_022145598.1",36073760,36084918,36079339
"NW_022145598.1",36084927,36092075,36088501
"NW_022145598.1",36092085,36095925,36094005
"NW_022145598.1",36095925,36101957,36098941
"NW_022145598.1",36101961,36106931,36104446
"NW_022145598.1",36106938,36112461,36109699.5
"NW_022145598.1",36112463,36116967,36114715
"NW_022145598.1",36116970,36122707,36119838.5
"NW_022145598.1",36122710,36129018,36125864
"NW_022145598.1",36129020,36134419,36131719.5
"NW_022145598.1",36134420,36139111,36136765.5
"NW_022145598.1",36139112,36143820,36141466
"NW_022145598.1",36143826,36151409,36147617.5
"NW_022145598.1",36151411,36157854,36154632.5
"NW_022145598.1",36157855,36161858,36159856.5
"NW_022145598.1",36161860,36165848,36163854
"NW_022145598.1",36165849,36170887,36168368
"NW_022145598.1",36170888,36175623,36173255.5
"NW_022145598.1",36175627,36180373,36178000
"NW_022145598.1",36180376,36186464,36183420
"NW_022145598.1",36186469,36191886,36189177.5
"NW_022145598.1",36196675,36200591,36198633
"NW_022145598.1",36200591,36209579,36205085
"NW_022145598.1",36209579,36220917,36215248
"NW_022145598.1",36243636,36256277,36249956.5
"NW_022145598.1",36280828,36284396,36282612
"NW_022145598.1",36592116,36596816,36594466
"NW_022145598.1",37099462,37122526,37110994
"NW_022145598.1",37122531,37128237,37125384
"NW_022145598.1",37202745,37211520,37207132.5
"NW_022145598.1",37211522,37219281,37215401.5
"NW_022145598.1",37219282,37227351,37223316.5
